Number of Inputs,Execution Time,Is Satisfiable
22,0.002171039581298828,True
22,0.0003960132598876953,True
22,0.007417917251586914,True
22,4.0531158447265625e-06,False
22,0.0001163482666015625,True
22,0.05894017219543457,True
22,9.5367431640625e-07,True
22,1.5974044799804688e-05,True
22,0.000993967056274414,True
22,0.0021321773529052734,True
22,0.035395145416259766,True
22,0.007539272308349609,True
22,2.9325485229492188e-05,True
22,0.0013549327850341797,True
22,6.628036499023438e-05,True
22,0.08478212356567383,True
22,0.05901002883911133,True
22,0.007885217666625977,True
22,0.027056217193603516,True
22,0.01222085952758789,True
22,0.0006191730499267578,True
22,0.00015211105346679688,True
22,0.0053119659423828125,True
22,7.104873657226562e-05,True
22,0.0002968311309814453,True
22,6.9141387939453125e-06,False
22,8.0108642578125e-05,True
22,0.013790130615234375,True
22,0.001216888427734375,True
22,1.811981201171875e-05,True
22,0.057250022888183594,True
22,0.000904083251953125,True
22,0.0003581047058105469,True
22,8.821487426757812e-06,True
22,0.04259777069091797,True
22,0.035199880599975586,True
22,0.008539199829101562,True
22,3.814697265625e-06,False
22,0.014322042465209961,True
22,0.00017571449279785156,True
22,2.7894973754882812e-05,True
22,7.3909759521484375e-06,True
22,0.002002239227294922,True
22,0.017760038375854492,True
22,0.016769886016845703,True
22,0.000209808349609375,True
22,0.038307905197143555,True
22,0.025178909301757812,True
22,0.001834869384765625,True
22,6.389617919921875e-05,True
22,0.21561980247497559,True
22,0.21074986457824707,True
22,0.15343165397644043,True
22,0.21608972549438477,False
22,0.2183082103729248,False
22,0.2122950553894043,True
22,0.21340417861938477,True
22,0.19857072830200195,True
22,0.1889200210571289,True
22,0.13438105583190918,True
22,0.09328722953796387,True
22,0.19487524032592773,True
22,0.19264006614685059,True
22,0.2102489471435547,True
22,0.21157479286193848,True
22,0.21161913871765137,True
22,0.21454811096191406,False
22,0.20462775230407715,True
22,0.09632420539855957,True
22,0.21904397010803223,True
22,0.1125478744506836,True
22,0.21392393112182617,True
22,0.21431398391723633,False
22,0.21743512153625488,False
22,0.19611692428588867,True
22,0.16320586204528809,True
22,0.21258211135864258,True
22,0.15091490745544434,True
22,0.2153787612915039,False
22,0.21312880516052246,True
22,0.21609711647033691,True
22,0.19453907012939453,True
22,0.054743051528930664,True
22,0.21879816055297852,False
22,0.21559762954711914,True
22,0.0864558219909668,True
22,0.185715913772583,True
22,0.2115638256072998,True
22,0.06715178489685059,True
22,0.16406607627868652,True
22,0.21431922912597656,True
22,0.19269418716430664,True
22,0.14685797691345215,True
22,0.10274314880371094,True
22,0.19880199432373047,True
22,0.19708490371704102,True
22,0.2165679931640625,True
22,0.14842915534973145,True
22,0.1388540267944336,True
22,0.18964910507202148,True
22,0.2539639472961426,False
